Price;Close;High;Low;Open;Volume;Daily_Variance_%
Ticker;^GSPC;^GSPC;^GSPC;^GSPC;^GSPC;
Date;;;;;;
2024-12-18;5872.16015625;6070.669921875;5867.7900390625;6047.64990234375;5246960000;3.4575177615747514
2024-12-19;5867.080078125;5935.52001953125;5866.06982421875;5912.7099609375;4896880000;1.1839305939688411
2024-12-20;5930.85009765625;5982.06005859375;5832.2998046875;5842.0;8223220000;2.567773587117137
2024-12-23;5974.06982421875;5978.25;5902.56982421875;5940.25;3593280000;1.28215638332185
2024-12-24;6040.0400390625;6040.10009765625;5981.43994140625;5984.6298828125;1757720000;0.9807029214475214
2024-12-26;6037.58984375;6049.75;6007.3701171875;6024.97021484375;2904530000;0.7054648204752398
2024-12-27;5970.83984375;6006.169921875;5932.9501953125;6006.169921875;3159610000;1.2341200271721373
2024-12-30;5906.93994140625;5940.7900390625;5869.16015625;5920.669921875;3433250000;1.2204451898662567
2024-12-31;5881.6298828125;5929.740234375;5868.85986328125;5919.740234375;3128350000;1.0373457964919288
2025-01-02;5868.5498046875;5935.08984375;5829.52978515625;5903.259765625;3621680000;1.8107817008249605
2025-01-03;5942.47021484375;5949.33984375;5888.66015625;5891.06982421875;3667340000;1.0304498118404215
2025-01-06;5975.3798828125;6021.0400390625;5960.009765625;5982.81005859375;4940120000;1.0239961986220005
2025-01-07;5909.02978515625;6000.68017578125;5890.68017578125;5993.259765625;4517330000;1.8673565143164692
2025-01-08;5918.25;5927.89013671875;5874.77978515625;5910.66015625;4441740000;0.9040398705104388
2025-01-10;5827.0400390625;5890.35009765625;5807.77978515625;5890.35009765625;4751930000;1.4217190657096956
2025-01-13;5836.22021484375;5838.60986328125;5773.31005859375;5782.02001953125;4421200000;1.1310635324409648
2025-01-14;5842.91015625;5871.919921875;5805.419921875;5859.27001953125;4142280000;1.1454813070356196
2025-01-15;5949.91015625;5960.60986328125;5905.2099609375;5905.2099609375;4544570000;0.9381529650971939
2025-01-16;5937.33984375;5964.68994140625;5930.72021484375;5963.60986328125;4285810000;0.5727757394030931
2025-01-17;5996.66015625;6014.9599609375;5978.43994140625;5995.39990234375;4366830000;0.6108620290439809
2025-01-21;6049.240234375;6051.509765625;6006.8798828125;6014.1201171875;4702920000;0.742979444956101
2025-01-22;6086.3701171875;6100.81005859375;6076.1298828125;6081.39013671875;4323040000;0.40618249210015434
2025-01-23;6118.7099609375;6118.72998046875;6074.669921875;6076.31982421875;4432250000;0.7253078629850966
2025-01-24;6101.240234375;6128.18017578125;6088.740234375;6121.43017578125;4214250000;0.6477520782309816
2025-01-27;6012.27978515625;6017.169921875;5962.919921875;5969.0400390625;5198750000;0.9097891756182005
2025-01-28;6067.7001953125;6074.5400390625;5994.6298828125;6026.97021484375;4473640000;1.333029024512662
2025-01-29;6039.31005859375;6062.830078125;6012.9599609375;6057.7001953125;4115310000;0.8293771705029712
2025-01-30;6071.169921875;6086.64013671875;6027.4599609375;6050.75;4634620000;0.9818427026439379
2025-01-31;6040.52978515625;6120.91015625;6030.93017578125;6096.7900390625;4843770000;1.491975165457689
2025-02-03;5994.56982421875;6022.1298828125;5923.93017578125;5969.64990234375;4797210000;1.65767833376428
2025-02-04;6037.8798828125;6042.47998046875;5990.8701171875;5998.14013671875;4410160000;0.8614752493662639
2025-02-05;6061.47998046875;6062.85986328125;6007.06005859375;6020.4501953125;4756250000;0.9289037256698031
2025-02-06;6083.56982421875;6084.02978515625;6046.830078125;6072.22021484375;4847120000;0.615193523724498
2025-02-07;6025.990234375;6101.27978515625;6019.9599609375;6083.1298828125;4766900000;1.3508366292536922
2025-02-10;6066.43994140625;6073.3798828125;6044.83984375;6046.39990234375;4458760000;0.4721388787828461
2025-02-11;6068.5;6076.27978515625;6042.33984375;6049.31982421875;4324880000;0.561701961225441
2025-02-12;6051.97021484375;6063.0;6003.0;6025.080078125;4627960000;0.9995002498750625
2025-02-13;6115.06982421875;6116.91015625;6050.9501953125;6060.58984375;4763800000;1.090076084060274
2025-02-14;6114.6298828125;6127.47021484375;6107.6201171875;6115.52001953125;4335190000;0.32500544034147916
2025-02-18;6129.580078125;6129.6298828125;6099.509765625;6121.60009765625;4684980000;0.49381209875665594
2025-02-19;6144.14990234375;6147.43017578125;6111.14990234375;6117.759765625;4562330000;0.5936734332696663
2025-02-20;6117.52001953125;6134.5;6084.58984375;6134.5;4813690000;0.820271497860566
2025-02-21;6013.1298828125;6114.81982421875;6008.56005859375;6114.10009765625;5434560000;1.7684730549214007
2025-02-24;5983.25;6043.64990234375;5977.830078125;6026.68994140625;4990120000;1.1010654929722423
2025-02-25;5955.25;5992.64990234375;5908.490234375;5982.72998046875;5374690000;1.424385327390702
2025-02-26;5956.06005859375;6009.81982421875;5932.68994140625;5970.8701171875;4869580000;1.30008282202959
2025-02-27;5861.56982421875;5993.68994140625;5858.77978515625;5981.8798828125;5057680000;2.302700582667523
2025-02-28;5954.5;5959.39990234375;5837.66015625;5856.740234375;6441140000;2.085420234054071
2025-03-03;5849.72021484375;5986.08984375;5810.91015625;5968.330078125;5613850000;3.014668662732347
2025-03-04;5778.14990234375;5865.080078125;5732.58984375;5811.97998046875;6138110000;2.3111758905871924
2025-03-05;5842.6298828125;5860.58984375;5742.35009765625;5781.35986328125;5285970000;2.059082850800228
2025-03-06;5738.52001953125;5812.080078125;5711.64013671875;5785.8701171875;5165080000;1.7585131241120384
2025-03-07;5770.2001953125;5783.009765625;5666.2900390625;5726.009765625;5705140000;2.05989678886631
2025-03-10;5614.56005859375;5705.3701171875;5564.02001953125;5705.3701171875;6409370000;2.540431147984228
2025-03-11;5572.06982421875;5636.2998046875;5528.41015625;5603.64990234375;6221240000;1.9515492770652727
2025-03-12;5599.2998046875;5642.18994140625;5546.08984375;5624.83984375;5219830000;1.732754072935676
2025-03-13;5521.52001953125;5597.77978515625;5504.64990234375;5594.4501953125;5018980000;1.6918402525989436
2025-03-14;5638.93994140625;5645.27001953125;5563.85009765625;5563.85009765625;4863180000;1.4633737510163658
2025-03-17;5675.1201171875;5703.52001953125;5631.1201171875;5635.60009765625;5031770000;1.2857104951955918
2025-03-18;5614.66015625;5654.52978515625;5597.759765625;5654.52978515625;4666270000;1.0141560536389242
2025-03-19;5675.2900390625;5715.330078125;5622.2001953125;5632.3701171875;4660090000;1.6564668559854359
2025-03-20;5662.89013671875;5711.14990234375;5632.330078125;5646.919921875;4678420000;1.399417703249897
2025-03-21;5667.56005859375;5670.83984375;5603.10009765625;5630.72998046875;9367460000;1.2089690512951075
2025-03-24;5767.56982421875;5775.14013671875;5718.080078125;5718.080078125;4517990000;0.997888413840829
2025-03-25;5776.64990234375;5786.9501953125;5760.419921875;5775.9599609375;4467340000;0.4605614485977348
2025-03-26;5712.2001953125;5783.6201171875;5694.41015625;5771.66015625;4183140000;1.5666233813450554
2025-03-27;5693.31005859375;5732.27978515625;5670.93994140625;5695.64013671875;4403460000;1.0816521490931055
2025-03-28;5580.93994140625;5685.89013671875;5572.419921875;5679.2001953125;4513330000;2.0362825564942297
2025-03-31;5611.85009765625;5627.56005859375;5488.72998046875;5527.91015625;5257250000;2.5293661487997556
2025-04-01;5633.06982421875;5650.56982421875;5558.52001953125;5597.52978515625;4434500000;1.6560128301069348
2025-04-02;5670.97021484375;5695.31005859375;5571.47998046875;5580.759765625;4243830000;2.222570637588142
2025-04-03;5396.52001953125;5499.52978515625;5390.830078125;5492.740234375;7210470000;2.016381623162887
2025-04-04;5074.080078125;5292.14013671875;5069.89990234375;5292.14013671875;8853500000;4.3835231198994915
2025-04-07;5062.25;5246.56982421875;4835.0400390625;4953.7900390625;8691980000;8.511403873214759
2025-04-08;4982.77001953125;5267.47021484375;4910.419921875;5193.56982421875;7408140000;7.271278193096234
2025-04-09;5456.89990234375;5481.33984375;4948.43017578125;4965.27978515625;9489600000;10.769267202696563
2025-04-10;5268.0498046875;5353.14990234375;5115.27001953125;5353.14990234375;6677140000;4.6503876023009765
2025-04-11;5363.35986328125;5381.4599609375;5220.77001953125;5255.56005859375;5602550000;3.0778973370805107
2025-04-14;5405.97021484375;5459.4599609375;5358.02001953125;5441.9599609375;5031440000;1.893235580241907
2025-04-15;5396.6298828125;5450.41015625;5386.43994140625;5411.990234375;4317110000;1.1876158564769805
2025-04-16;5275.7001953125;5367.240234375;5220.7900390625;5335.75;4607750000;2.805134744296251
2025-04-17;5282.7001953125;5328.31005859375;5255.580078125;5305.4501953125;4714880000;1.3838620930060572
2025-04-21;5158.2001953125;5232.93994140625;5101.6298828125;5232.93994140625;4226340000;2.5738844567328645
2025-04-22;5287.759765625;5309.60986328125;5207.669921875;5207.669921875;4666950000;1.9574962110798864
2025-04-23;5375.85986328125;5469.68994140625;5356.169921875;5395.919921875;5371390000;2.119425283123034
2025-04-24;5484.77001953125;5489.39990234375;5371.9599609375;5381.3798828125;4697710000;2.186165612927515
2025-04-25;5525.2099609375;5528.10986328125;5455.85986328125;5489.72998046875;4236580000;1.3242642188494111
2025-04-28;5528.75;5553.66015625;5468.64013671875;5529.22021484375;4257880000;1.554683018185633
2025-04-29;5560.830078125;5571.9501953125;5505.7001953125;5508.8701171875;4747150000;1.2032983571536389
2025-04-30;5569.06005859375;5581.83984375;5433.240234375;5499.43994140625;5449490000;2.735008999507157
2025-05-01;5604.14013671875;5658.91015625;5597.35009765625;5625.14013671875;4935270000;1.0998071858954601
2025-05-02;5686.669921875;5700.7001953125;5642.27978515625;5645.8798828125;4854380000;1.035404346837653
2025-05-05;5650.3798828125;5683.3798828125;5634.47998046875;5655.31982421875;4358260000;0.8678689517622861
2025-05-06;5606.91015625;5649.580078125;5586.0400390625;5605.8701171875;4717260000;1.137479119701474
2025-05-07;5631.27978515625;5654.72998046875;5578.64013671875;5614.18017578125;4987440000;1.3639496702641694
2025-05-08;5663.93994140625;5720.10009765625;5635.3798828125;5663.60009765625;5627400000;1.503362978281917
2025-05-09;5659.91015625;5691.68994140625;5644.14990234375;5679.64990234375;4645090000;0.8422887394035877
